CODIGO_ISO,ANIO,INDICE,RANKING
AFG,2009,51.67,105.0
AGO,2009,28.5,64.0
ALB,2009,21.5,45.0
AND,2009,,
ARE,2009,23.75,52.0
ARG,2009,16.35,24.0
ARM,2009,27.5,62.0
ATG,2009,,
AUS,2009,5.38,99.0
AUT,2009,0.5,1.0
AZE,2009,56.38,110.0
BDI,2009,28.88,66.0
BEL,2009,4.0,82.0
BEN,2009,19.0,37.0
BFA,2009,15.0,20.0
BGD,2009,42.5,86.0
BGR,2009,19.0,37.0
BHR,2009,,
BIH,2009,13.5,18.0
BLR,2009,57.0,112.0
BLZ,2009,,
BOL,2009,28.13,63.0
BRA,2009,16.6,27.0
BRN,2009,51.0,101.0
BTN,2009,17.75,32.0
BWA,2009,17.5,31.0
CAF,2009,18.5,36.0
CAN,2009,7.0,123.0
CHE,2009,0.0,2.0
CHL,2009,10.5,4.0
CHN,2009,84.67,138.0
CIV,2009,,
CMR,2009,44.3,89.0
COD,2009,51.83,106.0
COG,2009,33.6,72.0
COL,2009,51.5,104.0
COM,2009,19.0,37.0
CPV,2009,8.0,131.0
CRI,2009,8.08,132.0
CUB,2009,78.0,129.0
CYP,2009,13.4,16.0
CZE,2009,7.5,124.0
DEU,2009,4.25,83.0
DJI,2009,30.5,68.0
DNK,2009,2.5,41.0
DOM,2009,26.13,59.0
DZA,2009,47.33,93.0
ECU,2009,27.5,62.0
EGY,2009,43.33,87.0
ERI,2009,105.0,7.0
ESP,2009,12.25,11.0
EST,2009,2.0,40.0
ETH,2009,49.38,97.0
FIN,2009,0.0,2.0
FJI,2009,52.75,107.0
FRA,2009,13.38,15.0
GAB,2009,28.75,65.0
GBR,2009,6.0,114.0
GEO,2009,27.0,61.0
GHA,2009,8.0,131.0
GIN,2009,33.5,71.0
GMB,2009,40.5,85.0
GNB,2009,18.25,34.0
GNQ,2009,79.0,130.0
GRC,2009,19.0,37.0
GRD,2009,,
GTM,2009,20.25,42.0
GUY,2009,16.63,28.0
HKG,2009,,
HND,2009,51.13,102.0
HRV,2009,17.5,31.0
HTI,2009,16.38,25.0
HUN,2009,7.5,124.0
IDN,2009,35.83,75.0
IND,2009,38.75,80.0
IRL,2009,2.0,40.0
IRN,2009,94.56,142.0
IRQ,2009,45.58,90.0
ISL,2009,0.0,2.0
ISR,2009,,
ITA,2009,15.0,20.0
JAM,2009,7.67,125.0
JOR,2009,37.0,78.0
JPN,2009,2.5,41.0
KAZ,2009,68.5,122.0
KEN,2009,19.0,37.0
KGZ,2009,63.0,119.0
KHM,2009,43.83,88.0
KOR,2009,13.33,14.0
KSV,2009,36662.0,107336.0
KWT,2009,23.75,52.0
LAO,2009,80.5,135.0
LBN,2009,20.5,43.0
LBR,2009,22.5,49.0
LBY,2009,63.5,120.0
LIE,2009,,
LKA,2009,62.5,118.0
LSO,2009,24.0,53.0
LTU,2009,2.5,41.0
LUX,2009,4.0,82.0
LVA,2009,8.5,133.0
MAR,2009,47.4,94.0
MDA,2009,19.13,38.0
MDG,2009,34.88,74.0
MDV,2009,16.0,22.0
MEX,2009,47.5,95.0
MKD,2009,18.4,35.0
MLI,2009,8.0,131.0
MLT,2009,4.0,82.0
MMR,2009,94.5,141.0
MNE,2009,28.5,64.0
MNG,2009,19.42,39.0
MOZ,2009,26.5,60.0
MRT,2009,25.38,57.0
MUS,2009,18.0,33.0
MWI,2009,21.0,44.0
MYS,2009,50.75,100.0
NAM,2009,7.0,123.0
NER,2009,28.5,64.0
NGA,2009,51.5,104.0
NIC,2009,22.33,48.0
NLD,2009,0.0,2.0
NOR,2009,0.0,2.0
NPL,2009,36.38,77.0
NZL,2009,1.5,3.0
OMN,2009,40.25,84.0
PAK,2009,56.17,109.0
PAN,2009,21.83,46.0
PER,2009,30.0,67.0
PHL,2009,60.0,116.0
PNG,2009,13.33,14.0
POL,2009,8.88,134.0
PRK,2009,104.75,6.0
PRT,2009,12.36,12.0
PRY,2009,16.25,23.0
PSE,2009,,
QAT,2009,38.0,79.0
ROU,2009,16.0,22.0
RUS,2009,49.9,98.0
RWA,2009,81.0,136.0
SAU,2009,61.5,117.0
SDN,2009,85.33,139.0
SEN,2009,25.0,56.0
SGP,2009,47.5,95.0
SLE,2009,24.25,54.0
SLV,2009,15.83,21.0
SOM,2009,66.0,121.0
SRB,2009,23.0,50.0
SSD,2009,,
SUR,2009,11.5,8.0
SVK,2009,11.5,8.0
SVN,2009,13.44,17.0
SWE,2009,0.0,2.0
SWZ,2009,57.5,113.0
SYC,2009,18.0,33.0
SYR,2009,91.5,140.0
TCD,2009,33.17,70.0
TGO,2009,17.0,29.0
THA,2009,56.83,111.0
TJK,2009,34.5,73.0
TKM,2009,95.33,143.0
TLS,2009,25.0,56.0
TON,2009,23.75,52.0
TTO,2009,8.5,133.0
TUN,2009,72.5,127.0
TUR,2009,49.25,96.0
TWN,2009,,
TZA,2009,13.0,13.0
UGA,2009,25.5,58.0
UKR,2009,46.83,91.0
URY,2009,11.75,9.0
USA,2009,6.75,115.0
UZB,2009,71.5,126.0
VEN,2009,47.33,93.0
VNM,2009,75.75,128.0
WSM,2009,33.0,69.0
YEM,2009,82.13,137.0
ZAF,2009,12.0,10.0
ZMB,2009,22.0,47.0
ZWE,2009,39.5,81.0
